Feature,MI_Score
F3908,0.0040241019433404634
F3347,0.004019477101419366
F3238,0.00399983907296475
F1824,0.003994421988114061
F3108,0.003988824640248634
F3258,0.003986143608345594
F3292,0.003979366754086167
F3451,0.003958792932293398
F2784,0.00394759973185399
F1070,0.003944722062030226
F1541,0.003936767612344738
F3208,0.0039284084994888335
F1102,0.003922581849254869
F3163,0.003914161825015472
F3219,0.003909802068472135
F3105,0.003908660031804012
F3265,0.003896951431960116
F3296,0.003870052707200977
F3104,0.0038634503414290977
F2894,0.003847746104928107
F568,0.003824700934021874
F3103,0.0038185308523522865
F2485,0.003807321749808912
F2487,0.00379442360386395
F268,0.0037867714791571805
F1529,0.0037711482615826464
F18,0.0037406430041631022
F3489,0.003728974749345082
F2785,0.003728886961890554
F3464,0.0037229950238156784
F3369,0.0037203242075811715
F1431,0.0037175336932914194
F1280,0.0037113370247204847
F1644,0.0037066768388492877
F2181,0.003706319665352842
F3832,0.003686847048814612
F3309,0.0036695814725187237
F2184,0.003659398693832916
F3224,0.003653877382755577
F3886,0.003643313995440489
F1968,0.0036309779268597353
F3165,0.0036268991889490954
F3096,0.0036115429992112924
F1103,0.00360702723731543
F2845,0.003606272002027233
F3753,0.003595448104811938
F3423,0.0035766507165782002
F1535,0.0035713993546876432
F2290,0.003570068752627442
F161,0.003569508429360546
F3672,0.0035546016957564985
F1083,0.0035469953888461747
F3206,0.003544179805772485
F1214,0.0035348520232101333
F2777,0.0035308506850221244
F2997,0.003530403082701694
F1537,0.0035278650101224773
F3454,0.0035235707719395437
F3380,0.003521724137167337
F1536,0.0035199944980226494
F742,0.0035175581207197437
F956,0.0035058538101144787
F3270,0.0035025830504189504
F3281,0.0035001314440253894
F1112,0.0034958394400735893
F952,0.0034942603144544337
F963,0.003485729370609758
F1926,0.0034817322246755156
F2443,0.003481423595428912
F3067,0.003475423095228969
F2998,0.003474891777185851
F1379,0.003464595277758331
F3252,0.003463553165164779
F2250,0.003456762966728477
F1534,0.003449877316377137
F3394,0.0034438024037579673
F1633,0.0034431736010243075
F1174,0.0034387194657496956
F3328,0.0034370761001584205
F1219,0.003419556106289412
F1854,0.0034152608000702633
F1205,0.003413828166168087
F2256,0.0034133540074163804
F3719,0.0034111231411004805
F3833,0.0034092873923703415
F65,0.0034074233316782054
F3285,0.0034072592632526932
F1754,0.0034069861059412565
F3332,0.003406675387614966
F2622,0.003403910968603374
F1168,0.003402930986102337
F158,0.003401173818384895
F208,0.0033961864161248245
F3834,0.003372220960073724
F1855,0.0033659915967018117
F3072,0.003361503571536417
F2093,0.003358789913109783
F3429,0.0033493105710427074
F994,0.0033457836295582855
F207,0.0033424621105163643
F3751,0.003326158126100598
F3107,0.003322569748183013
F1965,0.003314246331391102
F2681,0.0033085664963062866
F1853,0.0032961874980601547
F3185,0.003291059758185888
F121,0.00328612908762127
F1435,0.0032815765413314324
F3242,0.0032702922735129425
F2179,0.003261370177690792
F1928,0.0032613217357974067
F1500,0.0032534263825751975
F999,0.0032525229918122234
F66,0.0032495892722415043
F20,0.003247411162585645
F2191,0.0032411536474880043
F1639,0.0032400190169002974
F3175,0.00323831457180912
F3535,0.0032313991037057344
F2483,0.0032292821952819573
F512,0.003224218522984268
F1868,0.003216885769213973
F160,0.003215145125889385
F153,0.0032143239266877455
F1270,0.003209186538712605
F3279,0.0032041367568430568
F3727,0.0032012431619752313
F1856,0.0031991918975448064
F62,0.0031915674628378854
F3277,0.003189841309365171
F2937,0.0031848754205676677
F3171,0.003183172085494901
F3914,0.003180787137108676
F3196,0.003179450788302951
F3217,0.0031737916229194196
F3470,0.0031671153500705262
F1109,0.00316646526719333
F3048,0.0031608809541977534
F1320,0.003159134402384578
F3499,0.003156828523828259
F3416,0.003153161920889991
F1857,0.0031529324915769985
F225,0.003146767407832818
F2291,0.0031467309553671052
F1934,0.0031435167195140723
F3750,0.003137689932184884
F948,0.0031258442240229556
F59,0.003120468441216051
F371,0.0031185875628987336
F1321,0.0031175750940998226
F1969,0.0031173008029601323
F3001,0.0031145516839578002
F1932,0.0031143702358436
F368,0.003114044207354616
F3354,0.003113702928414286
F3245,0.0031098862194263166
F1971,0.00310790529536209
F3322,0.0031058412169988614
F367,0.0031003665220518117
F3293,0.0030966854239190544
F2584,0.003088015592622173
F997,0.003087831219016235
F2891,0.0030861396746313385
F1427,0.0030835866558837077
F2071,0.0030711660930475837
F2188,0.003070372926323728
F450,0.0030633687672745324
F229,0.0030615069661590333
F122,0.003060055703188236
F3534,0.0030595733503836486
F3198,0.0030321237185374494
F3112,0.0030318252817734814
F1528,0.0030317717471155525
F3376,0.003030606680497039
F217,0.003030163780903372
F3457,0.0030262535668539314
F444,0.003012867939840347
F1492,0.0030116811054140546
F1210,0.0030106972950370015
F2183,0.0030016339285369176
F1809,0.0029977060388787224
F2893,0.002997217706569466
F1278,0.0029968186523012807
F3305,0.0029936222389093103
F3136,0.002990776060270983
F1836,0.002987678931703819
F1652,0.0029838848427802267
F3266,0.002978537439032536
F3351,0.0029784131096380895
F2352,0.00297375523078125
F448,0.002970720311872621
F3201,0.002970411613762991
F3079,0.002966784106436915
F3592,0.002966608688336869
F3567,0.002953290266114905
F1420,0.0029530505887149783
